the_geom,segmentid,complexid,saftype,placeid,bin,source,objectid,sosindicator,facility_domains,boroughcode,sourceid,created_by,created_date,modified_by,modified_date,facility_type,b7sc,primaryaddresspointid,feature_name,security_level
POINT (-74.097961931446 40.634604200807),13847,,,11947,5002227,DOE,10555,2,2,5,31R061,,2009-05-14T00:00:00.000Z,,2020-06-18T09:27:09.000Z,2,,5002977,IS 61 WILLIAM A MORRIS,1
POINT (-73.981379489555 40.589105561411),19292,,,12280,3385667,DOE,5120,2,3,3,75K721,,2009-05-14T00:00:00.000Z,,2020-04-08T09:48:35.000Z,2,,5132738,PS 721 BROOKLYN OCCUPATIONAL TRAINING CENTER,1
POINT (-73.943478646583 40.724827480825),35645,4762,X,1036755,3338038,OTHER,20345,2,10,3,,,2020-12-10T13:57:39.000Z,,2022-10-12T16:59:27.000Z,4,31248503,5201395,MCGOLRICK PLAYGROUND COMFORT STATION,1
POINT (-73.858490015009 40.708424926703),151696,,,3068,4095037,EMS,7507,1,2,4,,,2009-05-14T00:00:00.000Z,,2017-02-08T15:08:17.000Z,7,,105469,HOME DEPOT WOODHAVEN BLVD,1
POINT (-74.024085858699 40.672444940613),17988,,,6914,,NOAA,7005,,11,3,,,2009-05-14T00:00:00.000Z,,,6,,,BAY RIDGE CHANNEL LIGHTED GONG BUOY 11,1
POINT (-73.936113484306 40.793070363719),9006132,511,G,15705,,DPR,10364,2,1,1,M047,,2009-05-14T00:00:00.000Z,,2020-10-07T14:13:34.000Z,4,11098001,,THOMAS JEFFERSON PARK,1
POINT (-73.955888984378 40.783951563),166061,,,1026208,1047019,OTHER,16821,1,15,1,,,2015-05-11T12:48:55.000Z,,2015-05-11T15:40:31.000Z,2,,1037061,DALTON SCHOOL THE FIRST PROGRAM,1
POINT (-73.962896032221 40.635725656411),346620,,N,1031750,,DCP,787,2,8,3,,MRAHMAN,2018-04-16T00:00:00.000Z,A_Marti,2022-11-10T14:48:27.000Z,6,30080701,,NEWKIRK AV OVER NYCTA BRIGHTON,1
POINT (-73.974551138655 40.731826135591),310121,519,,11891,1082851,DoITT,12216,1,2,1,478956,,2009-05-14T00:00:00.000Z,,2023-04-10T15:00:23.000Z,1,,1062390,STUYVESANT TOWN 321 AVE C 319 AVE C 315 AVE C,1
POINT (-73.8469462415 40.749665456207),119664,555,X,9539,4467715,DCP,4034,2,8,4,,,2009-05-14T00:00:00.000Z,,2019-08-01T10:58:08.000Z,4,40046502,5192460,ARTHUR ASHE STADIUM,1
