the_geom,boro,unitid,point_x,point_y,cb,latitude,longitude
POINT (-73.79456804377382 40.77221777714884),4,H425919a,1041150.586,220683.273,407,40.7722168,-73.79457092
POINT (-73.91289250895464 40.64434661766513),3,H325449,1008423.396,174041.245,318,40.64434814,-73.9128952
POINT (-73.95303997851815 40.72505714515936),3,H307276,997266.219,203437.906,301,40.72505569,-73.95304108
POINT (-73.99463256503688 40.69398892775767),3,H301843,985738.421,192115.373,302,40.6939888,-73.99462891
POINT (-73.93569187481359 40.73528872722269),4,H439410,1002071.97,207168.6435,402,40.73529053,-73.93569183
POINT (-73.91147293739287 40.63402697951728),3,H328476,1008821.144,170281.918,318,40.63402557,-73.91147614
POINT (-73.94400116043501 40.6773924260893),3,H315750,999782.669,186073.704,308,40.67739105,-73.94400024
POINT (-74.14396635619805 40.56425342130275),5,H509011,944249.62625,144882.07825,503,40.56425476,-74.14396667
POINT (-73.72485402779134 40.75377740880686),4,H417730,1060481.036,214017.841,411,40.75377655,-73.72485352
POINT (-73.72888277862388 40.695674559216215),4,H403465,1059430.365,192845.796,413,40.6956749,-73.72888184
