the_geom,objectid,loc,borough,street_nam,from_stree,to_street,iex,may_07_am,may_07_pm,may_07_md,sept_07_am,sept_07_pm,sept_07_md,may_08_am,may_08_pm,may_08_md,sept_08_am,sept_08_pm,sept_08_md,may_09_am,may_09_pm,may_09_md,sept_09_am,sept_09_pm,sept_09_md,may_10_am,may_10_pm,may_10_md,sept_10_am,sept_10_pm,sept_10_md,may_11_am,may_11_pm,may_11_md,sept_11_am,sept_11_pm,sept_11_md,may_12_am,may_12_pm,may_12_md,sept_12_am,sept_12_pm,sept_12_md,may_13_am,may_13_pm,may_13_md,sept_13_am,sept_13_pm,sept_13_md,may_14_am,may_14_pm,may_14_md,sept_14_am,sept_14_pm,sept_14_md,may_15_am,may_15_pm,may_15_md,sept_15_am,sept_15_pm,sept_15_md,may_16_am,may_16_pm,may_16_md,sept_16_am,sept_16_pm,sept_16_md,may_17_am,may_17_pm,may_17_md,sept_17_am,sept_17_pm,sept_17_md,may_18_am,may_18_pm,may_18_md,sept_18_am,sept_18_pm,sept_18_md,may_19_am,may_19_pm,may_19_md,oct_20_am,oct_20_pm,oct_20_md,may_21_am,may_21_pm,may_21_md,oct_21_am,oct_21_pm,oct_21_md,may_22_am,may_22_p_m,may_22_md,oct_22_am,oct_22_pm,oct_22_md,may_23_am,may_23_p_m,may_23_md,oct_23_am,oct_23_pm,oct_23_md,june_24_am,june_24_pm,june_24_md,oct24_am,oct24_pm,oct24_md,may25_am,may25_pm,may25_md
POINT (-73.90459140730678 40.87919896648574),1,1.0,Bronx,Broadway,West 231st Street,Naples Terrace,N,1189,4094,2508,734,2646,2939,802,4015,2631,1125,4310,3420,1001,3475,2832,991,4262,2469,1010,3609,3128,863,4119,2217,997,4440,2687,1328,3820,2428,1288,3328,3365,1268,4315,2276,1210,4710,3825,1206,4590,3008,1220,4384,2641,1450,4646,2996,1788,4980,3033,1204,4520,2999,1246,4531,2686,1309,3642,2830,1916,5893,2776,1111,4044,2731,1271,4502,2899,1708,4464,2967,0,0,0,486,2843,1754,630,3262,1710,808,2807,2230,737,2343,1883,745,2637,2241,1897,5018,2496,935,3759,1745,901,3482,2052,1031,4097,2229,811,2420,2224
POINT (-73.92188432870218 40.82662794123292),2,2.0,Bronx,East 161st Street,Gra Concourse,Sheridan Avenue,Y,1511,3184,1971,1855,3754,1183,1136,2638,1522,1939,3283,1383,1351,3111,1304,1227,3137,2762,2077,3283,1409,1007,3069,1477,1734,3333,1772,2051,3525,1752,1233,1875,1912,2113,4099,1970,2278,4215,2288,2071,3890,1832,2206,4363,2315,1949,4435,2388,2318,4589,2483,2005,4790,2512,2053,4721,2311,2109,5485,2548,1848,4920,2143,2389,5952,2832,1749,5148,2156,2006,4723,1604,1702,4347,1576,780,1892,1287,1405,2097,1410,2191,3786,1770,2242,4227,2168,2608,4277,1867,2384,4600,2064,2822,5050,1287,2113,4155,1493,3016,4685,1655,2928,4168,2468
POINT (-73.89535781584335 40.86215460031517),3,3.0,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,1832,12311,14391,1829,9215,15065,1061,8013,7927,2497,10010,8013,1689,8374,7472,2387,10655,6614,2285,10943,10424,2807,12658,7714,2289,15890,9167,2679,13548,8140,2125,7635,7022,2704,10486,7421,2710,12723,8872,2651,10613,8241,2699,12490,6339,2752,10408,8266,2382,11216,7574,2733,10586,9072,2540,11272,8422,2422,11145,9775,2557,12125,6499,2783,12388,7076,2209,9634,7066,2246,8931,6212,1625,11739,7468,972,6976,5058,942,5576,4402,1798,7296,4864,1501,5950,4987,1662,6572,4765,1654,6918,4696,1560,6880,2453,1485,7125,3819,1689,6405,4417,1599,4936,4688
POINT (-73.87892467324478 40.8812869959873),4,4.0,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,764,2673,1798,1360,1975,872,2102,3206,1989,3020,3915,1662,1536,2997,1672,2097,3135,1591,2954,3962,1717,1622,3006,1344,1661,2844,1510,1996,2836,1587,1906,2066,1261,2371,3500,1620,2052,3981,1979,2373,3660,1914,2096,3378,1333,2382,3425,1339,1757,3561,1714,2256,2923,1574,2066,2944,1752,2017,2771,1459,2125,3130,1123,2453,3429,1551,1648,2892,1323,1944,2682,1693,0,0,0,953,2063,1185,946,1211,1161,1503,1978,689,1350,2082,1063,1448,2120,1032,1398,2280,1303,1404,2089,807,1394,2023,1190,1495,2474,1073,1261,1779,1133
POINT (-73.88956389732787 40.844636776717664),5,5.0,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,650,2538,2334,1078,2739,2343,553,2438,1652,756,3095,1374,684,2660,2604,912,3637,2339,1075,5823,4085,1012,5785,3758,1093,6119,4274,1049,5859,3934,627,1503,2371,959,3140,2273,1007,4175,2854,760,3488,2805,971,3586,2460,1019,3184,2366,1055,3710,2554,1063,3296,2466,993,3625,2492,1101,3336,2501,980,3700,2526,1082,3330,2479,1016,3781,2565,975,3761,2461,0,0,0,357,1997,1719,444,2382,1384,714,2356,1502,669,1508,1606,774,2084,1611,730,2077,1578,786,2140,1115,550,1455,1563,725,2329,1888,714,1585,1522
POINT (-73.92087824799184 40.83015855511035),6,6.0,Bronx,Gra Concourse,East 164th Street,East 165th Street,Y,489,1235,835,873,1457,631,634,1554,856,771,1445,744,605,1271,539,599,1028,750,597,1426,669,634,1341,738,753,1394,891,802,1396,859,838,1372,1069,936,1743,1059,912,2059,1037,963,1726,973,858,2035,1042,972,1902,1097,839,2023,1059,999,1948,1161,767,1933,1010,982,1971,1165,740,1909,925,962,1872,1199,757,1933,956,1158,1986,686,694,1881,816,511,1459,689,500,878,586,919,1416,886,718,1121,806,684,1175,1146,551,1194,780,538,1035,537,621,1403,478,684,1356,644,1213,1558,849
POINT (-73.91635737290386 40.81688745834867),7,7.0,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,703,8776,2865,858,6503,5501,636,6123,4461,1499,5803,4251,1696,7236,3540,1446,6730,7409,1624,6877,4565,1701,6922,4866,1773,7138,5866,1937,7050,4951,1367,6961,5551,1604,7500,5012,2097,8853,6599,1231,6701,4294,2161,9048,6717,1648,9057,6785,2165,9285,6721,1690,7894,6844,2059,9097,6688,1689,7885,6900,2027,9045,6683,1702,7883,6921,1817,9048,5956,1649,9087,4470,1136,6589,4967,778,4641,3020,567,2571,3433,1138,5781,3287,995,5361,3866,1260,5443,3324,1594,6292,4086,1352,5744,2439,1037,6293,3353,1400,5356,3078,1354,4288,3404
POINT (-73.86767352599497 40.85558871971955),8,8.0,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,1025,4039,3991,1743,4667,3309,1638,4798,4858,1056,3194,2489,990,3490,3335,1461,5090,2526,1375,4834,3095,1568,4386,2217,1545,4402,2985,1689,3016,2360,1626,3415,3828,1591,5398,3851,1410,4232,3007,1479,4910,4056,1495,5166,2540,1769,4114,2893,1512,4333,3122,1537,4379,3092,1638,5900,2582,1377,4098,2730,1186,4673,3420,2023,5520,3166,1601,5059,3391,1493,4011,2566,1305,5007,3326,728,3556,2238,763,4344,2204,1108,3983,2891,1263,4291,2491,1003,3493,2441,1096,4096,2655,1092,3891,1589,1035,4040,2130,1227,3765,2205,973,3085,2193
POINT (-74.01119296689038 40.64426682358741),9,9.0,Brooklyn,5th Avenue,51st Street,52 Street,Y,856,5940,4354,900,5435,5081,886,7054,4806,1062,5072,5901,914,5730,4619,1364,5475,4740,982,5570,5371,946,5585,4577,1350,7743,6135,1445,8170,4999,1306,3662,4731,1419,4864,6325,1457,6509,6070,1658,6627,5690,1522,7718,6313,1721,7988,6391,1791,7802,6762,1655,7502,6082,1531,7296,6014,1642,8130,5763,1517,7384,5356,1563,4730,5563,1197,4909,4515,1210,4821,4401,652,1402,1125,0,0,0,1677,9439,5579,1221,4455,4151,1167,4184,3781,948,3673,3978,3229,14631,10699,1096,4642,3791,1030,4297,3027,1172,4990,3355,997,4271,3592
POINT (-73.98067647018506 40.676093537146265),10,10.0,Brooklyn,5th Avenue,Union Street,President Street,Y,504,2207,2225,422,2167,1627,672,2707,966,487,1898,2321,469,2547,2259,774,2310,1690,582,2274,2808,661,3063,2141,631,2915,2852,591,2848,2307,666,1414,2620,723,3255,2468,688,2764,2554,794,2513,2591,800,3051,3080,955,2390,1962,900,2492,3081,922,2955,2681,941,2751,3131,951,2911,2248,812,2570,2298,905,2463,1679,743,2252,2286,736,2297,2196,849,6007,4865,539,1983,3144,536,2564,1429,713,2334,2118,646,2499,2503,592,2091,2416,657,2464,2456,604,2239,2389,570,2185,1615,694,2284,2360,669,2600,2469
