dataset_name,resource_id,status,action,changes_vs_local,changes_since_last_check,local_rows_updated_at,remote_rows_updated_at,local_view_last_modified,remote_view_last_modified,local_rows_updated_at_readable,remote_rows_updated_at_readable,local_view_last_modified_readable,remote_view_last_modified_readable,local_column_count,remote_column_count,error
bike_routes,mzxg-pwib,unchanged,no_action,,,1755531962,1755531962,1755531980,1755531980,2025-08-18T15:46:02+00:00,2025-08-18T15:46:02+00:00,2025-08-18T15:46:20+00:00,2025-08-18T15:46:20+00:00,25,25,
child_care,gy3q-4tzp,unchanged,no_action,,,1776553209,1776553209,1776639603,1776639603,2026-04-18T23:00:09+00:00,2026-04-18T23:00:09+00:00,2026-04-19T23:00:03+00:00,2026-04-19T23:00:03+00:00,20,20,
commonplace,t95h-5fsr,unchanged,no_action,,,1775909624,1775909624,1747151565,1747151565,2026-04-11T12:13:44+00:00,2026-04-11T12:13:44+00:00,2025-05-13T15:52:45+00:00,2025-05-13T15:52:45+00:00,21,21,
farmers_markets,8vwk-6iz2,unchanged,no_action,,,1772134228,1772134228,1772134244,1772134244,2026-02-26T19:30:28+00:00,2026-02-26T19:30:28+00:00,2026-02-26T19:30:44+00:00,2026-02-26T19:30:44+00:00,13,13,
hydrants,6pui-xhxz,unchanged,no_action,,,1766071828,1766071828,1766071809,1766071809,2025-12-18T15:30:28+00:00,2025-12-18T15:30:28+00:00,2025-12-18T15:30:09+00:00,2025-12-18T15:30:09+00:00,8,8,
libraries,feuq-due4,unchanged,no_action,,,1466610774,1466610774,1706899543,1706899543,2016-06-22T15:52:54+00:00,2016-06-22T15:52:54+00:00,2024-02-02T18:45:43+00:00,2024-02-02T18:45:43+00:00,13,13,
nyc311,76ig-c548,unchanged,no_action,,,1766600348,1766600348,1766778501,1766778501,2025-12-24T18:19:08+00:00,2025-12-24T18:19:08+00:00,2025-12-26T19:48:21+00:00,2025-12-26T19:48:21+00:00,48,48,
ped_counts,cqsj-cfgu,unchanged,no_action,,,1759426839,1759426839,1759426838,1759426838,2025-10-02T17:40:39+00:00,2025-10-02T17:40:39+00:00,2025-10-02T17:40:38+00:00,2025-10-02T17:40:38+00:00,113,113,
play_areas,bbtf-6p3c,unchanged,no_action,,,1776520805,1776520805,1776520804,1776520804,2026-04-18T14:00:05+00:00,2026-04-18T14:00:05+00:00,2026-04-18T14:00:04+00:00,2026-04-18T14:00:04+00:00,14,14,
street_trees,uvpi-gqnh,unchanged,no_action,,,1507124486,1507124486,1731421699,1731421699,2017-10-04T13:41:26+00:00,2017-10-04T13:41:26+00:00,2024-11-12T14:28:19+00:00,2024-11-12T14:28:19+00:00,45,45,
wifi_hotspots,yjub-udmw,unchanged,no_action,,,1569515080,1569515080,1663960987,1663960987,2019-09-26T16:24:40+00:00,2019-09-26T16:24:40+00:00,2022-09-23T19:23:07+00:00,2022-09-23T19:23:07+00:00,34,34,
